00AC,¬,_symbols,&not;,0,,,Lat1Suppl,3.0,"NOT SIGN",accepted,,0,,"2025-09-25 09:37:44",https://mufi.info/q.php?p=mufi/chars/unichar/172
00AD,­,_formatting,&shy;,0,,,Lat1Suppl,3.0,"SOFT HYPHEN",accepted,,0,"The soft hyphen is an invisible character.","2023-04-28 08:55:02",https://mufi.info/q.php?p=mufi/chars/unichar/173
00AE,®,_symbols,&reg;,0,,,Lat1Suppl,3.0,"REGISTERED SIGN",accepted,,0,,"2025-09-25 09:37:48",https://mufi.info/q.php?p=mufi/chars/unichar/174
00AF,¯,_spacing,&macr;,0,,,Lat1Suppl,"4.0 additions",MACRON,accepted,,0,,"2025-09-25 09:37:45",https://mufi.info/q.php?p=mufi/chars/unichar/175
00B0,°,_symbols,&deg;,0,,,Lat1Suppl,3.0,"DEGREE SIGN",accepted,,0,"The degree sign should not to be confused with 00BA MASCULINE ORDINAL INDICATOR in Lat1Suppl, typically used in Romance languages.","2025-09-25 09:37:41",https://mufi.info/q.php?p=mufi/chars/unichar/176
00B1,±,_symbols,&plusmn;,0,,,Lat1Suppl,3.0,"PLUS-MINUS SIGN",accepted,,0,,"2025-09-25 09:37:47",https://mufi.info/q.php?p=mufi/chars/unichar/177
00B2,²,_numbers,&sup2;,0,,,Lat1Suppl,3.0,"SUPERSCRIPT TWO",accepted,,0,,"2023-04-28 08:55:02",https://mufi.info/q.php?p=mufi/chars/unichar/178
00B3,³,_numbers,&sup3;,0,,,Lat1Suppl,3.0,"SUPERSCRIPT THREE",accepted,,0,,"2023-04-28 08:55:02",https://mufi.info/q.php?p=mufi/chars/unichar/179
00B4,´,_spacing,&acute;,0,,,Lat1Suppl,"4.0 additions","ACUTE ACCENT",accepted,,0,,"2025-09-25 09:37:38",https://mufi.info/q.php?p=mufi/chars/unichar/180
00B5,µ,_symbols,&micro;,0,,,Lat1Suppl,3.0,"MICRO SIGN",accepted,,0,,"2025-09-25 09:37:45",https://mufi.info/q.php?p=mufi/chars/unichar/181
00B6,¶,_symbols,&para;,0,,,Lat1Suppl,3.0,"PILCROW SIGN",accepted,,0,,"2025-09-25 09:37:46",https://mufi.info/q.php?p=mufi/chars/unichar/182
00B7,·,_punctuation,&middot;,0,,,Lat1Suppl,3.0,"MIDDLE DOT",accepted,,0,"A high dot, F1F8 DISTINCTIO, is listed in the section on Medieval punctuation p. 145 below.","2025-09-25 09:37:46",https://mufi.info/q.php?p=mufi/chars/unichar/183
00B8,¸,_spacing,&cedil;,0,,,Lat1Suppl,"4.0 additions",CEDILLA,accepted,,0,,"2025-09-25 09:37:40",https://mufi.info/q.php?p=mufi/chars/unichar/184
00B9,¹,_numbers,&sup1;,0,,,Lat1Suppl,3.0,"SUPERSCRIPT ONE",accepted,,0,,"2023-04-28 08:55:02",https://mufi.info/q.php?p=mufi/chars/unichar/185
00BA,º,O,&ordm;,0,,,Lat1Suppl,3.0,"MASCULINE ORDINAL INDICATOR",accepted,,0,,"2025-09-25 09:37:46",https://mufi.info/q.php?p=mufi/chars/unichar/186
00BB,»,_punctuation,&raquo;,0,,,Lat1Suppl,3.0,"RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK",accepted,,0,,"2025-09-25 09:37:43",https://mufi.info/q.php?p=mufi/chars/unichar/187
00BC,¼,_numbers,&frac14;,0,,,Lat1Suppl,3.0,"VULGAR FRACTION ONE QUARTER",accepted,,0,,"2025-09-25 09:37:46",https://mufi.info/q.php?p=mufi/chars/unichar/188
00BD,½,_numbers,&frac12;,0,,,Lat1Suppl,3.0,"VULGAR FRACTION ONE HALF",accepted,,0,"The entity ‘&half;’ is also being used for this character.","2025-09-25 09:37:46",https://mufi.info/q.php?p=mufi/chars/unichar/189
00BE,¾,_numbers,&frac34;,0,,,Lat1Suppl,3.0,"VULGAR FRACTION THREE QUARTERS",accepted,,0,,"2025-09-25 09:37:49",https://mufi.info/q.php?p=mufi/chars/unichar/190
00BF,¿,_punctuation,&iquest;,0,,,Lat1Suppl,3.0,"INVERTED QUESTION MARK",accepted,,0,,"2025-09-25 09:37:47",https://mufi.info/q.php?p=mufi/chars/unichar/191
00C0,À,A,&Agrave;,0,,,Lat1Suppl,3.0,"LATIN CAPITAL LETTER A WITH GRAVE",accepted,,0,,"2025-09-25 09:37:32",https://mufi.info/q.php?p=mufi/chars/unichar/192
00C1,Á,A,&Aacute;,0,,,Lat1Suppl,3.0,"LATIN CAPITAL LETTER A WITH ACUTE",accepted,,0,,"2025-09-25 09:37:31",https://mufi.info/q.php?p=mufi/chars/unichar/193
00C2,Â,A,&Acirc;,0,,,Lat1Suppl,3.0,"LATIN CAPITAL LETTER A WITH CIRCUMFLEX",accepted,,0,,"2025-09-25 09:37:31",https://mufi.info/q.php?p=mufi/chars/unichar/194
00C3,Ã,A,&Atilde;,0,,,Lat1Suppl,3.0,"LATIN CAPITAL LETTER A WITH TILDE",accepted,,0,,"2025-09-25 09:37:32",https://mufi.info/q.php?p=mufi/chars/unichar/195
00C4,Ä,A,&Auml;,0,,,Lat1Suppl,3.0,"LATIN CAPITAL LETTER A WITH DIAERESIS",accepted,,0,,"2025-09-25 09:37:32",https://mufi.info/q.php?p=mufi/chars/unichar/196
00C5,Å,A,&Aring;,0,,,Lat1Suppl,3.0,"LATIN CAPITAL LETTER A WITH RING ABOVE",accepted,,0,,"2025-09-25 09:37:32",https://mufi.info/q.php?p=mufi/chars/unichar/197
00C6,Æ,A,&AElig;,0,,,Lat1Suppl,3.0,"LATIN CAPITAL LETTER AE",accepted,,0,,"2025-09-25 09:37:31",https://mufi.info/q.php?p=mufi/chars/unichar/198
00C7,Ç,C,&Ccedil;,0,,,Lat1Suppl,3.0,"LATIN CAPITAL LETTER C WITH CEDILLA",accepted,,0,,"2025-09-25 09:37:32",https://mufi.info/q.php?p=mufi/chars/unichar/199
00C8,È,E,&Egrave;,0,,,Lat1Suppl,3.0,"LATIN CAPITAL LETTER E WITH GRAVE",accepted,,0,,"2025-09-25 09:37:32",https://mufi.info/q.php?p=mufi/chars/unichar/200
00C9,É,E,&Eacute;,0,,,Lat1Suppl,3.0,"LATIN CAPITAL LETTER E WITH ACUTE",accepted,,0,,"2025-09-25 09:37:32",https://mufi.info/q.php?p=mufi/chars/unichar/201
00CA,Ê,E,&Ecirc;,0,,,Lat1Suppl,3.0,"LATIN CAPITAL LETTER E WITH CIRCUMFLEX",accepted,,0,,"2025-09-25 09:37:32",https://mufi.info/q.php?p=mufi/chars/unichar/202
00CB,Ë,E,&Euml;,0,,,Lat1Suppl,3.0,"LATIN CAPITAL LETTER E WITH DIAERESIS",accepted,,0,,"2025-09-25 09:37:32",https://mufi.info/q.php?p=mufi/chars/unichar/203
